"Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES"
"RCNJANXZETXNAA-UHFFFAOYNA-N,CHEMBL81472,29253,A,7.0,chembl20,123276,10116,MAOA,2549,S1C=2C(=CC=CN2)OC=3C1=CC=CC3"
"SLEQRFMTAWGXRG-UHFFFAOYNA-N,CHEMBL114510,29253,N,4.33,chembl20,826182,10116,MAOA,2549,C1CN(CCN1C2=CC=CC=C2)CCC"
"SIRJFTFGHZXRRZ-UHFFFAOYNA-N,CHEMBL1938481,4128,N,3.8,chembl20,799278,9606,MAOA,2549,C1N(CC2=CC=CC=C2)CCC=C1"
"SYTFCSLHNXBWJU-UHFFFAOYNA-N,CHEMBL542711,29253,A,5.41,chembl20,122940,10116,MAOA,2549,C(#C)CN(C(CCCCCCCC)C)C"
"UUFAJPMQSFXDFR-UHFFFAOYNA-N,CHEMBL1276,29253,N,3.71,chembl20,123096,10116,MAOA,2549,C(#C)CNC(CC1=CC=CC=C1)C"
"WOBAXWXQKSIHCH-UHFFFAOYNA-N,CHEMBL193309,29253,A,7.0,chembl20,305534,10116,MAOA,2549,C(C(C)N)C=1C=CC(=CC1)SCC"
"WJFKNYWRSNBZNX-UHFFFAOYNA-N,CHEMBL828,4128,A,6.23,chembl20,774648,9606,MAOA,2549,C1=CC=CC=2SC3=CC=CC=C3NC21"
"WOYZXEVUWXQVNV-UHFFFAOYNA-N,CHEMBL249550,4128,N,4.62,chembl20,699650,9606,MAOA,2549,NC=1C=CC(OC2=CC=CC=C2)=CC1"
"YRSPDBZZQRNQQV-UHFFFAOYNA-N,CHEMBL90144,29253,A,5.69,chembl20,124429,10116,MAOA,2549,C(#C)CN(N)CCC1=CC=CC=C1"
"AUZONCFQVSMFAP-UHFFFAOYNA-N,CHEMBL964,4128,N,4.86,chembl20,774648,9606,MAOA,2549,N(C(SSC(N(CC)CC)=S)=S)(CC)CC"
"AVFUTMHSYXKZLL-UHFFFAOYNA-N,CHEMBL537628,29253,N,3.82,chembl20,306631,10116,MAOA,2549,C1(NC2CCCCCC2)=C(CN)C=CN=C1"
"CBMULJVNWNTWJM-UHFFFAOYNA-N,CHEMBL555908,4128,N,4.47,chembl20,122786,9606,MAOA,2549,C=12C=C(C(=CC1CCNC2C)OC)O"
"CCUIZOSFSPCGLS-UHFFFAOYNA-N,CHEMBL2312488,4128,N,4.0,chembl20,934040,9606,MAOA,2549,C=1C=CC2=C(C1)OC=C(C2=O)CO"
"ADEGSDRAQWTWTK-UHFFFAOYNA-N,CHEMBL146544,29253,A,5.89,chembl20,123083,10116,MAOA,2549,C(#C)CN(CCC1=CC(O)=CC=C1)C"
"BPUORBVHZGHTPR-UHFFFAOYNA-N,CHEMBL2204771,4128,N,4.43,chembl20,885406,9606,MAOA,2549,C(C=1C=CC(=CC1)SC=2C=CC=CC2)#N"
"CJBPGDPRUYWCPW-UHFFFAOYNA-N,CHEMBL3113639,4128,N,4.77,chembl20,1290768,9606,MAOA,2549,C1(C(=CC=2C=CC=CC2O1)CNCCC)=O"
"CJGFWDQCRQPGTG-UHFFFAOYNA-N,CHEMBL348490,29253,A,5.89,chembl20,123087,10116,MAOA,2549,C12=C(CCC1NCC#C)C=CC=C2O"
"DBRDMIJGGTUCPG-UHFFFAOYNA-N,CHEMBL2204775,4128,A,5.01,chembl20,885406,9606,MAOA,2549,C(C=1C=CC(=CC1)SC2CCCCC2)#N"
"GGYNYZIHJHLRIZ-UHFFFAOYNA-N,CHEMBL597371,4128,A,5.02,chembl20,610657,9606,MAOA,2549,S1CCNCC1C2=CC=C(C=C2)OCC"
"FTCFXBBBKDOQJA-UHFFFAOYNA-N,78027,4128,A,5.24413,pubchem,1119029,9606,MAOA,2549,N(CC1=NC=CC=C1)C=2C=CC=CC2"
"DIXPHRIXQYGPLM-UHFFFAOYNA-N,CHEMBL2048226,29253,A,5.01,chembl20,826182,10116,MAOA,2549,N1(CCC(CC1)C=2C=CC=CC2)CCC"
"IGPFOKFDBICQMC-UHFFFAOYNA-N,CHEMBL1642680,4128,N,3.91,chembl20,699650,9606,MAOA,2549,C=1C(OCC2=CC=CC=C2)=CC(=CC1)N"
"IVLSEZMELCTWIF-UHFFFAOYNA-N,CHEMBL545177,4128,N,4.1,chembl20,122786,9606,MAOA,2549,C=12C=C(C(=CC1CCN=C2C)O)OC"
"HKFLTDDIRURSLM-UHFFFAOYNA-N,CHEMBL222368,4128,N,1.7,chembl20,739780,9606,MAOA,2549,N1C(=CC=C1)CNCCC2=CC=CC=C2"
"GPDGFLUBBBVCJX-UHFFFAOYNA-N,CHEMBL375574,4128,N,0.08,chembl20,739780,9606,MAOA,2549,N1(C(=CC=C1)C(N(CC#C)C)=O)C"
"KAZPHAGSWZTKDW-UHFFFAOYNA-N,CHEMBL277540,29253,N,4.7,chembl20,305534,10116,MAOA,2549,C=1(C=CC(=CC1OC)CC(N)C)OC"
"LHCAALSSPCHRFS-UHFFFAOYNA-N,CHEMBL1269719,4128,A,6.01,chembl20,673984,9606,MAOA,2549,C(N)C=1N=NN(C1)C=2C=CC=CC2"
"LYMXNLJYURYPQH-UHFFFAOYNA-N,35319,4128,N,,pubchem,409942,9606,MAOA,2549,O1C(C1C)C2OC(=O)CC=C2OC(=O)C"
"NVNUOGJMXPVHLF-UHFFFAOYNA-N,CHEMBL455991,29253,A,6.89,chembl20,543072,10116,MAOA,2549,C=1C=C(CC(N)C)C=CC1OCCC"
"NTIIOWKIWLOHAR-UHFFFAOYNA-N,CHEMBL36580,4128,N,3.89,chembl20,122786,9606,MAOA,2549,C1=2C=C(OC)C(=CC1=CC=NC2C)O"
"NLNNODLEXBFJDM-UHFFFAOYNA-N,CHEMBL1938482,4128,N,3.39,chembl20,799282,9606,MAOA,2549,C1C=C(CCN1CCC2=CC=CC=C2)C"
"NRSDGDXUWMMUEV-UHFFFAOYNA-N,CHEMBL297506,29253,A,6.17,chembl20,122959,10116,MAOA,2549,C12=C(CCC1NCC#C)C=CC(=C2)O"
"NSBMREIZEUTNQL-UHFFFAOYNA-N,CHEMBL37589,4128,N,4.89,chembl20,122786,9606,MAOA,2549,C1=2CC(=O)C(CC1=CC=NC2C)OC"
"ODTJDLMNBKMVGR-UHFFFAOYNA-N,CHEMBL471838,29253,A,5.25,chembl20,543072,10116,MAOA,2549,C1=CC=C2C=CC=C(C2=C1)CC(N)C"
"MJVAVZPDRWSRRC-UHFFFAOYNA-N,CHEMBL590,4128,N,4.59,chembl20,792787,9606,MAOA,2549,C1(=O)C=C(C(=O)C2=CC=CC=C12)C"
"MHUSNQPPWZGBBB-UHFFFAOYNA-N,CHEMBL608141,4128,A,5.18,chembl20,610657,9606,MAOA,2549,S1CCNCC1C=2C=CC(=CC2)OCCC"
"RFGSGIYDYZAVKP-UHFFFAOYNA-N,CHEMBL1938475,4128,N,4.56,chembl20,799278,9606,MAOA,2549,C1C=CCCN1CCC2=CC=C(C=C2)F"
"RLCZBUOZNFAZLK-UHFFFAOYNA-N,CHEMBL123155,4128,A,7.22,chembl20,122928,9606,MAOA,2549,C=1(C=C2C=CC=CC2=CC1O)C(=O)Cl"
"UPQSZFKXKRKCGZ-UHFFFAOYNA-N,CHEMBL471839,29253,A,6.38,chembl20,543072,10116,MAOA,2549,C1=CC=C2C=CC(=CC2=C1)CC(N)C"
"VAFDRBJZVFFWNL-UHFFFAOYNA-N,22416629,29253,A,5.72125,pubchem,125708,10116,MAOA,2549,N(C(CCCCCCCCCC)C)(CC#C)C"
"YAPWTYUHWOWUHY-UHFFFAOYNA-N,4996817,29253,A,5.1945,pubchem,459597,10116,MAOA,2549,S1C(CNCC1)C2=CC=C(OC)C=C2"
"YAPWTYUHWOWUHY-UHFFFAOYNA-N,CHEMBL598395,4128,N,4.79,chembl20,610657,9606,MAOA,2549,S1C(CNCC1)C2=CC=C(C=C2)OC"
"WOKZGPAOFQHBRB-UHFFFAOYNA-N,CHEMBL1938478,4128,N,4.06,chembl20,799278,9606,MAOA,2549,C1C=CCCN1CCCC2=CC=CC=C2"
"WOLBYFCROKOTCH-UHFFFAOYNA-N,CHEMBL1269737,4128,A,6.08,chembl20,673984,9606,MAOA,2549,C(N)C=1N=NN(C1)C2=CC=NC=C2"
"WHKUVVPPKQRRBV-WXRBYKJCNA-N,7204,4128,N,,pubchem,409942,9606,MAOA,2549,ClC1=CC(=C(OCC(=O)O)C=C1)C"
"YPOBCEDPUKMYCH-UHFFFAOYNA-N,CHEMBL46491,29253,A,6.62,chembl20,123446,10116,MAOA,2549,N1(C(=CC2=C1C=CC=C2)CNCC#C)C"
"YOGRUDYQEJQNLR-UHFFFAOYNA-N,CHEMBL223618,4128,N,0.46,chembl20,739780,9606,MAOA,2549,N1C(=CC=C1)CNCC2=CC=CC=C2"
"ZCCUUQDIBDJBTK-UHFFFAOYNA-N,CHEMBL164660,4128,N,4.67,chembl20,956041,9606,MAOA,2549,C=1C=2C=C3C(OC(C=C3)=O)=CC2OC1"
"ZHJMCJIZYGTPMH-UHFFFAOYNA-N,CHEMBL555558,4128,N,3.89,chembl20,122788,9606,MAOA,2549,C1=2C=C(C(=CC1=CC=NC2C)O)O"
"BGMZUEKZENQUJY-UHFFFAOYNA-N,CHEMBL6616,29253,N,4.36,chembl20,305534,10116,MAOA,2549,C=1(OC)C(=CC(=C(C1)I)OC)CC(N)C"
"BBUQQGUVKDFADC-UHFFFAOYNA-N,CHEMBL145511,29253,N,4.34,chembl20,122945,10116,MAOA,2549,N1=C(N=NN1CCO)C=2C=CC(=CC2)OC"
"AWROKCIGUWAVRF-UHFFFAOYNA-N,CHEMBL447809,29253,N,3.2,chembl20,948571,10116,MAOA,2549,C1(N2CCN(CC2)CCC)=CC=CC(=C1)O"
"AXIKLEVFYDZYKE-UHFFFAOYNA-N,CHEMBL148927,29253,A,7.82,chembl20,122951,10116,MAOA,2549,C=12C(CCC1C=CC(=C2)O)N(CC#C)C"
"APIPFXZYOMIJQG-UHFFFAOYNA-N,CHEMBL185686,4128,A,6.14,chembl20,304820,9606,MAOA,2549,C1(C=2C(=CC=CC2O)OC3=C1C=CC=C3O)=O"
"AQQYAUYICONMJU-UHFFFAOYNA-N,CHEMBL68223,29253,A,7.22,chembl20,123282,10116,MAOA,2549,S1(C2=C(C=CC=C2Br)OC=3C1=CC=CC3)(=O)=O"
"BTFHLQRNAMSNLC-UHFFFAOYNA-N,CHEMBL8706,29253,A,9.38,chembl20,814309,10116,MAOA,2549,C=1C=C(Cl)C=C(Cl)C1OCCCN(C)CC#C"
"BTFHLQRNAMSNLC-UHFFFAOYNA-N,CHEMBL8706,4128,A,11.31,chembl20,714882,9606,MAOA,2549,C=1C=C(Cl)C=C(Cl)C1OCCCN(C)CC#C"
"CBRYZPDPVZGCMA-NDKGDYFDNA-N,CHEMBL597769,29253,N,4.91,chembl20,610655,10116,MAOA,2549,S1CC(NCC1C=2C=CC(=CC2)OCC)=O"
"CBRYZPDPVZGCMA-NDKGDYFDNA-N,CHEMBL597769,4128,N,4.22,chembl20,610657,9606,MAOA,2549,S1CC(NCC1C=2C=CC(=CC2)OCC)=O"
"BPTGDQHLMKVBQQ-UHFFFAOYNA-N,CHEMBL2018561,29253,A,5.5,chembl20,814309,10116,MAOA,2549,C1=CC(CCCCC(OC)=O)=CC2=C1OCO2"
"BNLRKUSVMCIOGU-UHFFFAOYNA-N,CHEMBL187368,4128,A,6.51,chembl20,304820,9606,MAOA,2549,C=1C=C2C(OC=3C(C2=O)=C(C=CC3)O)=CC1"
"COBYBOVXXDQRAU-UHFFFAOYNA-N,CHEMBL447830,29253,A,5.28,chembl20,305534,10116,MAOA,2549,C1(=C(C=C(C(=C1)CC(C)N)OC)SC)OC"
"CMPGCFZWPMOLAI-UHFFFAOYNA-N,CHEMBL269538,4128,A,8.3,chembl20,604552,9606,MAOA,2549,CC=1NC=CC=2C1N=C3C=C(C=CC23)OC"
"CSGRSRYPHUABSU-GXDHUFHONA-N,CHEMBL3219617,4128,N,4.43,chembl20,1329704,9606,MAOA,2549,C=1N=C(C=CC1)/C=N/C2=CC=CC=C2"
"CNIPIGLQDBYVPE-UHFFFAOYNA-N,CHEMBL2204772,4128,N,4.74,chembl20,885406,9606,MAOA,2549,C(C=1C=CC(=CC1)SC=2C=CC(=CC2)Cl)#N"
"CGHHNVFGMJCVOU-UHFFFAOYNA-N,21974910,4128,A,5.60206,pubchem,1119029,9606,MAOA,2549,N(CC1=NC=CC=C1)C=2C=CC(N)=CC2"
"CJVFJZNWXDFXHF-UHFFFAOYNA-N,CHEMBL164781,4128,N,4.0,chembl20,934040,9606,MAOA,2549,C1(=CC(=O)C=2C(O1)=CC=CC2)C(=O)OCC"
"CFIKEPHTXCZYMW-UHFFFAOYNA-N,CHEMBL2312487,4128,N,4.0,chembl20,934040,9606,MAOA,2549,C=1C=CC2=C(C1)OC=C(C2=O)C(=O)OCC"
"CVBIGHLFBOZQTD-UHFFFAOYNA-N,CHEMBL147412,29253,A,8.1,chembl20,122950,10116,MAOA,2549,C12=C(CCC1N(CC#C)C)C(O)=CC=C2"
"CVEOWBRXZJEZRQ-UHFFFAOYNA-N,CHEMBL332223,4128,A,6.64,chembl20,122928,9606,MAOA,2549,C=1(C=C2C=CC=CC2=CC1O)C(=O)OCC"
"CSVGVHNFFZWQJU-CYBMUJFWNA-N,5289295,29253,A,8.52288,pubchem,125715,10116,MAOA,2549,N([C@@H]1CCC=2C1=CC=CC2)(CC#C)C"
"CSVGVHNFFZWQJU-CYBMUJFWNA-N,CHEMBL436947,4128,A,5.31,chembl20,122793,9606,MAOA,2549,C#CCN(C)[C@@H]1CCC2=C1C=CC=C2"
"CSVGVHNFFZWQJU-ZDUSSCGKNA-N,12114431,29253,A,7.1549,pubchem,125715,10116,MAOA,2549,N([C@H]1CCC=2C1=CC=CC2)(CC#C)C"
"ALKYHXVLJMQRLQ-NDKGDYFDNA-N,CHEMBL122279,4128,N,4.82,chembl20,122928,9606,MAOA,2549,C1(=CC=2C=CC=CC2C=C1O)C(=O)O"
"BQDOAXFBKRUNTF-WXRBYKJCNA-N,CHEMBL503552,29253,N,4.6,chembl20,495010,10116,MAOA,2549,C=1C=CC=2C(N(C(NC2C1)=NN)C)=O"
"BIENRSWPGQHFEH-UHFFFAOYNA-N,CHEMBL341850,29253,N,4.78,chembl20,122945,10116,MAOA,2549,N1=C(N=NN1CCC#N)C=2C=CC(=CC2)OC"
"FXMWUTGUCAKGQL-UHFFFAOYNA-N,CHEMBL6607,29253,N,4.0,chembl20,305534,10116,MAOA,2549,BrC1=C(OC)C=C(C(OC)=C1)CC(N)C"
"GAYKVOKJQMEOFW-UHFFFAOYNA-N,CHEMBL67073,29253,A,7.3,chembl20,123282,10116,MAOA,2549,S1(C2=C(C=CC=C2I)OC=3C1=CC=CC3)(=O)=O"
"DQWOZMUBHQPFFF-UHFFFAOYNA-N,CHEMBL282734,29253,A,6.22,chembl20,305534,10116,MAOA,2549,C=1(C(CC(N)C)=CC=C(C1)OC)OC"
"DSQMJENLNWSEMO-XWKXFZRBNA-N,CHEMBL489080,29253,N,4.54,chembl20,540260,10116,MAOA,2549,C=1(NCCN1)C=2C=CC(=CC2Cl)Cl"
"GGYNYZIHJHLRIZ-UHFFFAOYNA-N,46233266,29253,A,5.66354,pubchem,459597,10116,MAOA,2549,S1C(CNCC1)C2=CC=C(OCC)C=C2"
"FQFLPZZATVCNLA-UHFFFAOYNA-N,6918822,29253,A,7.24413,pubchem,1152914,10116,MAOA,2549,OC=1C2=NC=CC=C2C(CN(CC#C)C)=CC1"
"DDGNOUVDFKXADP-UHFFFAOYNA-N,CHEMBL34108,29253,A,6.4,chembl20,305534,10116,MAOA,2549,C=1(C(=CC(=CC1OC)OC)OC)CC(N)C"
"DDCUEBYJBWDGDD-UHFFFAOYNA-N,CHEMBL537406,29253,A,5.0,chembl20,306631,10116,MAOA,2549,C1(=C(N(CCC)C)C=NC=C1NCCC)CN"
"FCDSLUDYBYEALA-RMKNXTFCNA-N,CHEMBL328113,29253,A,5.1,chembl20,122944,10116,MAOA,2549,C(#C)CNNC/C=C/C=1C=CC=CC1"
"FIIDVVUUWRJXLF-UHFFFAOYNA-N,CHEMBL1351571,4128,N,4.3,chembl20,699650,9606,MAOA,2549,O(C=1C=CC(N)=CC1)CC2=CC=CC=C2"
"FCVXJGYYOJMPSS-UHFFFAOYNA-N,44347923,4128,A,7.70006,pubchem,125696,9606,MAOA,2549,BrC=1C=C2C(C=C(O)C(=C2)C(Cl)=O)=CC1"
"BTTBIZBMYHKJTB-UHFFFAOYNA-N,CHEMBL147358,29253,A,7.15,chembl20,122953,10116,MAOA,2549,C=12C(CCC1C=CC=C2O)N(CC#C)C"
"BGEBZHIAGXMEMV-UHFFFAOYNA-N,CHEMBL24171,4128,N,4.86,chembl20,956041,9606,MAOA,2549,C=1C=2C(OC)=C3C(OC(C=C3)=O)=CC2OC1"
"HTSFGBRWMBRBLU-UHFFFAOYNA-N,CHEMBL545566,29253,N,4.89,chembl20,123271,10116,MAOA,2549,C(OC=1C=C2C(CCC2N)=CC1)(N(CC)C)=O"
"HXMREWXYWPTCJD-UHFFFAOYNA-N,CHEMBL1830793,4128,N,3.82,chembl20,769478,9606,MAOA,2549,C1(=CC=2C=C(C(OC2C=C1)=O)C(C)=O)O"
"QWLSHZKQRSNZKL-BUHFOSPRNA-N,4313470,4128,A,5.29243,pubchem,1119029,9606,MAOA,2549,N(=N/C1=NC=CC=C1)\C2=CC=CC=C2"
"HIOIYGZUYPHUTC-JTQLQIEINA-N,CHEMBL229472,29253,A,6.94,chembl20,436975,10116,MAOA,2549,C=1C=C(C[C@@H](N)C)C=CC1SCCC"
"HIVSTTONWQDHJU-YHMJCDSINA-N,CHEMBL170087,4128,N,0.3,chembl20,739780,9606,MAOA,2549,C(C=1NC=CC1)(NCC2CCCCC2)=O"
"HLHZQJPJPNQANY-UHFFFAOYNA-N,CHEMBL501402,4128,N,4.32,chembl20,557971,9606,MAOA,2549,C1=CC=2C3=C(C(OC2C=C1O)=O)CCC3"
"HLNSVKSSCLHOSW-TWGQIWQCNA-N,CHEMBL445285,4128,N,3.64,chembl20,514663,9606,MAOA,2549,C=1(OC)C=C(C=CC1OC)/C(=C\F)/CN"
"IHKBTMWREIJCDJ-UHFFFAOYNA-N,CHEMBL545104,29253,N,3.3,chembl20,123112,10116,MAOA,2549,C(OC=1C=C2C(CCC2NCC)=CC1)(N(C)C)=O"
"IHOMCLNYBYFARY-UHFFFAOYNA-N,CHEMBL145044,29253,N,4.18,chembl20,122945,10116,MAOA,2549,N1=C(N=NN1CCO)C=2C=CC(=CC2)Cl"
"HBZKLFOMYUYDEU-UHFFFAOYNA-N,CHEMBL2204769,4128,N,4.26,chembl20,885406,9606,MAOA,2549,C(C=1C=CC(=CC1)SCC=2C=CC(=CC2)F)#N"
"HALQFUWRVXLBIS-NDKGDYFDNA-N,CHEMBL1458820,4128,N,4.0,chembl20,934040,9606,MAOA,2549,ClC=1C=C2C(OC(=CC2=O)C(=O)O)=CC1"
"JHEDXMVWNCTPTI-UHFFFAOYNA-N,CHEMBL257057,4128,N,4.1,chembl20,557971,9606,MAOA,2549,C=1C=C2C(=CC(OC2=C(C1O)OC)=O)C"
"JDNSAFIIOVPTOF-UHFFFAOYNA-N,CHEMBL274029,29253,A,7.15,chembl20,122946,10116,MAOA,2549,COC1=CC=C2C(=C(C(OC2=C1)=O)C)C"
"IVWOUZKNCGFRBC-UHFFFAOYNA-N,CHEMBL364619,4128,A,6.05,chembl20,304820,9606,MAOA,2549,C1(C=2C(=CC=CC2OC)OC3=C1C=CC=C3)=O"
"IXBNDVAWTMCRPT-UHFFFAOYNA-N,CHEMBL303050,29253,A,5.85,chembl20,123290,10116,MAOA,2549,S1C2=C(C=CC=C2C)C(C=3C1=CC=CC3)=O"
"JPDVAVONMYSOMF-UHFFFAOYNA-N,CHEMBL31557,29253,A,5.03,chembl20,305534,10116,MAOA,2549,C=1(C(=CC(=C(C1)OC)OC)Br)CC(N)C"
"JPWDVOFSOTVCEL-UHFFFAOYNA-N,CHEMBL442561,29253,A,6.0,chembl20,99937,10116,MAOA,2549,S1(C=2C(=CC(=CC2)N)C=3C1=CC=CC3)(=O)=O"
"HDVIQRKATXBZHO-UHFFFAOYNA-N,CHEMBL352538,4128,N,0.22,chembl20,739780,9606,MAOA,2549,C(C=1NC=CC1)(N(CC2=CC=CC=C2)C)=O"
"GFGGPQWFSJTTRK-UHFFFAOYNA-N,CHEMBL374119,4128,N,1.3,chembl20,739780,9606,MAOA,2549,N1C(CN(CCC2=CC=CC=C2)C)=CC=C1"
"GLXQTIXWCYOZOQ-UHFFFAOYNA-N,CHEMBL2336284,29253,N,4.74,chembl20,948571,10116,MAOA,2549,C1=CC=C(C=C1OC)C2CCN(CC2)CCC"
"IUGNSWHLJPFTJF-UHFFFAOYNA-N,70685459,29253,A,5.25414,pubchem,657237,10116,MAOA,2549,O1C=2C=C(CCCCC(OCC)=O)C=CC2OC1"
"JKEZZHTVVYGYLC-UHFFFAOYNA-N,CHEMBL332164,4128,A,7.54,chembl20,122928,9606,MAOA,2549,C=1(C=C2C=C(C)C=CC2=CC1O)C(=O)Cl"
"JNELGWHKGNBSMD-UHFFFAOYNA-N,CHEMBL186784,4128,A,6.08,chembl20,304820,9606,MAOA,2549,C1=CC=2C(C3=C(OC2C=C1)C=CC=C3)=O"
"LMUABKDFRGUGMA-UHFFFAOYNA-N,CHEMBL255700,4128,A,5.62,chembl20,462120,9606,MAOA,2549,C1=CC=2C(=CC=NC2C(O)=C1)CNCC#C"
"LPRQSQCAHSRGRZ-WXRBYKJCNA-N,CHEMBL13633,29253,N,4.8,chembl20,540260,10116,MAOA,2549,C=1(NCCN1)C=2C=CC(=CC2)OC"
"LQVXOBJGBMHXPQ-UHFFFAOYNA-N,CHEMBL147524,29253,N,4.02,chembl20,123264,10116,MAOA,2549,C(OC1=CC(CCN)=CC=C1)(N(C)C)=O"
"LNZJESQAAKBMTP-UHFFFAOYNA-N,CHEMBL365987,29253,A,8.15,chembl20,302385,10116,MAOA,2549,C=1(C(CN2CCCCC2)=O)N(C=CC1)C"
"LOFGBGBCVMZHMR-UHFFFAOYNA-N,CHEMBL2204765,4128,A,5.84,chembl20,885406,9606,MAOA,2549,C(C=1C(C#N)=CC(=CC1)SCCC(C)C)#N"
"IBRKLUSXDYATLG-LURJTMIENA-N,CHEMBL553751,4128,N,3.55,chembl20,122786,9606,MAOA,2549,C12=CC(=C(C=C1CCN[C@H]2C)O)O"
"IBRKLUSXDYATLG-ZCFIWIBFNA-N,CHEMBL544715,4128,N,4.51,chembl20,122786,9606,MAOA,2549,C12=CC(=C(C=C1CCN[C@@H]2C)O)O"
"LETSMZRHUXLNTC-UHFFFAOYNA-N,CHEMBL190095,29253,A,7.15,chembl20,305534,10116,MAOA,2549,C=1(C(=CC(=CC1OC)OC)Cl)CC(N)C"
"KMLJERDDNFAXKC-UHFFFAOYNA-N,CHEMBL544637,29253,N,4.3,chembl20,123116,10116,MAOA,2549,C(OC=1C=C2C(CCC2NC)=CC1)(N(C)C)=O"
"KIJIBWBXZSOASH-UHFFFAOYNA-N,CHEMBL151369,29253,N,4.7,chembl20,123097,10116,MAOA,2549,C(OC1=CC(CCNC)=CC=C1)(N(CC)C)=O"
"KNWJXSGFQHWFDU-UHFFFAOYNA-N,CHEMBL82051,29253,A,6.22,chembl20,123276,10116,MAOA,2549,S1(C=2C(=CC=CN2)OC=3C1=CC=CC3)(=O)=O"
"JYWRGGNXKMXAJS-UHFFFAOYNA-N,CHEMBL356737,29253,A,5.19,chembl20,122945,10116,MAOA,2549,N1=C(N=NN1CCC#N)C=2C=CC(=CC2)Cl"
"KBQFPPUAIJHDCO-UHFFFAOYNA-N,CHEMBL359978,4128,A,5.89,chembl20,304820,9606,MAOA,2549,C1(C=2C(=C(O)C=CC2)OC3=C1C=CC=C3)=O"
"KCAGYIIVLFWRQP-UHFFFAOYNA-N,CHEMBL2204764,4128,A,5.56,chembl20,885406,9606,MAOA,2549,C(C=1C(C#N)=CC(=CC1)SC2CCCC2)#N"
"LWWOWQZGAGVVEU-UHFFFAOYNA-N,88562,4128,A,5.22185,pubchem,635335,9606,MAOA,2549,O=C1C=2C(C(=O)C(=C1C)C)=CC=C(C2)C"
"LUEZHHVAYCCXKH-UHFFFAOYNA-N,CHEMBL67466,29253,A,6.0,chembl20,123282,10116,MAOA,2549,S1(C2=C(C=CC=C2C)OC=3C1=CC=CC3)=O"
"LUSQVPHVQHHDEB-UHFFFAOYNA-N,CHEMBL541126,29253,N,4.02,chembl20,306631,10116,MAOA,2549,N(C1=C(CN)C=CN=C1)CC2CCCCC2"
"MNGSKNUHZZSDIM-UHFFFAOYNA-N,CHEMBL124867,29253,N,4.01,chembl20,123278,10116,MAOA,2549,C1(C2=C(N=NC=C2)C=3C1=CC=CC3)=O"
"MQJZMFWAGYASSM-UHFFFAOYNA-N,CHEMBL150819,29253,A,6.05,chembl20,123082,10116,MAOA,2549,C12=C(C(NCC#C)CC1)C=CC=C2O"
"LIGUHHPSWRMXSB-UHFFFAOYNA-N,CHEMBL356734,29253,N,4.4,chembl20,123580,10116,MAOA,2549,C12=CC(OCC3=CC=CC=C3)=CC=C1CCO2"
"LVTVHKBJJQEETH-UHFFFAOYNA-N,CHEMBL307524,29253,A,6.52,chembl20,123290,10116,MAOA,2549,S1C2=C(C=C(C=C2)CC)OC=3C1=CC=CC3"
